_id_	en	sv	da	nl	fi	de	nb
### Login page							
username	Username	Användarnamn	Brugernavn	Gebruikersnaam	Käyttäjätunnus	Benutzername	Brukernavn
password	Password	Lösenord	Adgangskode	Wachtwoord	Salasana	Passwort	Passord
loginHintMP	Use your myAbilia account to Log in	Använd ditt myAbilia-konto för att logga in	Brug din myAbilia-konto til at logge ind	Gebruik uw myAbilia-account om in te loggen	Kirjaudu sisään myAbilia-tililläsi	Verwenden Sie Ihr myAbilia-Konto, um sich anzumelden	Bruk myAbilia-kontoen din for å logge på
loginHintMPGO	Login with the same username and password as on your MEMOplanner	Logga in med samma användarnamn och lösenord som på din MEMOplanner	Log ind med samme brugernavn og adgangskode som på din MEMOplanner	Log in met dezelfde gebruikersnaam en hetzelfde wachtwoord als op uw MEMOplanner	Kirjaudu sisään samalla käyttäjänimellä ja salasanalla kuin MEMOplannerilla	Melden Sie sich mit demselben Benutzernamen und Passwort wie auf Ihrem MEMOplanner an	Logg inn med samme brukernavn og passord som på MEMOplanner
login	Log in	Logga in	Log ind	Inloggen	Kirjaudu sisään	Anmelden	Logg inn
logout	Log out	Logga ut	Log ud	Uitloggen	Kirjaudu ulos	Abmelden	Logg ut
wrongCredentials	Username or password doesn't match.\nVerify your credentials and try again.	Användarnamn eller lösenord stämmer inte.\nKontrollera att du har skrivit rätt och försök igen.	Brugernavn eller adgangskode er ikke korrekt.\nKontroller at du har skrevet det rigtigt og forsøg igen.	Gebruikersnaam of wachtwoord komt niet overeen.\nControleer uw gegevens en probeer opnieuw.	Käyttäjätunnus tai salasana ei täsmää.\nVahvista tunnistetiedot ja yritä uudelleen.	Benutzername oder Passwort unkorrekt.\nBitte Anmeldedaten prüfen und nochmals versuchen.	Brukernavn eller passord er ikke riktig.\nKontroller at du har skrevet riktig og prøv igjen.
noConnection	No contact with myAbilia. Check your Internet connection.	Ingen kontakt med myAbilia. Kontrollera din internetanslutning.	Enheden er ikke tilsluttet myAbilia. Kontroller din internetforbindelse.	Het apparaat is niet aangesloten op het myAbilia. Controleer uw internetverbinding.	Laitetta ei ole yhdistetty myAbilia. Tarkista Internet-yhteys.	Das Gerät ist nicht mit dem myAbilia verbunden. Überprüfen Sie Ihre Internetverbindung.	Enheten er ikke koblet til myAbilia. Sjekk din Internettforbindelse.
enterUsername	Enter username	Ange ditt användarnamn	Angiv dit brugernavn	Gebruikersnaam invoeren	Anna käyttäjätunnus	Benutzername eingeben	Angi ditt brukernavn
enterPassword	Enter password	Ange ditt lösenord	Angiv din adgangskode	Wachtwoord invoeren	Anna salasana	Passwort eingeben	Angi ditt passord
userTypeNotSupported	Users of type Support person or Admin can't log in to MEMOPlanner. Please use myAbilia.	Användare av typen Supportperson eller Admin kan inte logga in i MEMOPlanner. Var vänlig använd myAbilia.	Supportere eller Admin-brugere kan ikke logge ind på MEMOplanner. Brug venligst myAbilia.	Gebruikers van het type Ondersteuningspersoon of Beheerder kunnen niet inloggen op MEMOPlanner. Gebruik myAbilia.	Users of type Support person or Admin can't log in to MEMOPlanner. Please use myAbilia.	Benutzer vom Typ Supportperson oder Admin können sich nicht bei MEMOPlanner anmelden. Bitte verwenden Sie myAbilia.	Brukere av typen Støtteperson eller Admin kan ikke logge inn på MEMOplanner. Vennligst bruk myAbilia.
loggedOutMessage	You have been logged out. Please log in again.	Du har blivit utloggad. Vänligen logga in igen.	Du er blevet logget ud. Log ind igen.	U bent uitgelogd. Log alstublieft opnieuw in.	Olet kirjautunut ulos. Kirjaudu sisään uudelleen.	Sie wurden abgemeldet. Bitte melden Sie sich erneut an.	Du har blitt logget ut. Logg på igjen.
resetDeviceHeading	Reset device	Återställ enheten	Nulstil enheden	Reset het apparaat	Nollaa laite	Rückstelleinrichtung	Tilbakestill enheten
resetDeviceBody	Do you really want to reset the device? You will be redirected to the first page of the initial startup guide.	Vill du verkligen återställa enheten? Efter det kommer första sidan i konfigurationsguiden att visas.	Er du sikker på, at du vil nulstille din enhed? Derefter vises den første side i konfigurationsguiden.	Wil je het apparaat echt resetten? U wordt doorgestuurd naar de eerste pagina van de initiële opstartgids.	Haluatko todella nollata laitteen? Sinut ohjataan ensimmäisen aloitusoppaan ensimmäiselle sivulle.	Möchten Sie das Gerät wirklich zurücksetzen? Sie werden auf die erste Seite der Erstinbetriebnahmeanleitung weitergeleitet.	Er du sikker på at du vil tilbakestille enheten? Etter det vil den første siden av konfigurasjonsveiledningen vises.
							
### Create Account							
createAccountHint	Don’t have a myAbilia account yet?	Har du inte ett myAbilia konto än?	Har du ikke en myAbilia-konto endnu?	Heeft u nog geen myAbilia-account?	Eikö sinulla ole vielä myAbilia-tiliä?	Sie haben noch kein myAbilia-Konto?	Har du ikke en myAbilia-konto ennå?
createAccount	Create Account	Skapa konto	Opret konto	Maak account	Luo tili	Benutzerkonto erstellen	Opprett konto
createAccountHeading	Create your account in myAbilia	Skapa ditt konto i myAbilia	Opret din konto i myAbilia	Creëer uw account in myAbilia	Luo tili myAbiliassa	Erstellen Sie Ihr Konto in myAbilia	Opprett kontoen din i myAbilia
createAccountSubheading	You need a myAbilia account to use MEMOplanner	Du behöver ett myAbilia-konto för att kunna använda MEMOplanner	Du har brug for en myAbilia-konto for at bruge MEMOplanner	U heeft een myAbilia-account nodig om MEMOplanner te gebruiken	Tarvitset myAbilia-tilin käyttääksesi MEMOplanneria	Sie benötigen ein myAbilia-Konto, um MEMOplanner verwenden zu können	Du trenger en myAbilia-konto for å bruke MEMOplanner
acceptTerms	I have read and agree to	Jag har läst och godkänner	Jeg har læst og accepterer	Ik heb gelezen en akkoord gegaan	Olen lukenut ja sopineet	Ich habe gelesen und bin damit einverstanden	Jeg har lest og godtar
termsOfUse	terms of use	användarvillkor	brugervillkår	gebruiksvoorwaarden	käyttöehdot	nutzungsbedingungen	brukervillkår
termsOfUseUrl	intl/terms-of-use	sv/anvandarvillkor	intl/terms-of-use	intl/terms-of-use	intl/terms-of-use	intl/terms-of-use	nb/brukervilkar
privacyPolicy	privacy policy	personuppgiftspolicy	persondatapolitik	privacybeleid	tietosuojakäytäntö	datenschutzbestimmungen	personvernerklæring
privacyPolicyUrl	intl/policy-for-the-processing-of-personal-data	sv/personuppgiftspolicy	intl/policy-for-the-processing-of-personal-data	intl/policy-for-the-processing-of-personal-data	intl/policy-for-the-processing-of-personal-data	intl/policy-for-the-processing-of-personal-data	nb/personvernerklaering
usernameHint	Username (phone number or email)	Användarnamn (telefonnummer eller e-post)	Brugernavn (telefon eller en e-mail)	Gebruikersnaam (telefoon of een e-mail)	Käyttäjätunnus (puhelin tai sähköpostiosoite)	Benutzername (telefon oder E-Mail)	Brukernavn (telefon eller en e-post)
passwordHint	Password (minimum 12 characters)	Lösenord (minst 12 tecken)	Adgangskode (mindst 12 tegn)	Wachtwoord (minimaal 12 tekens)	Salasanassa (vähintään 12 merkkiä)	Passwort (mindestens 12 Zeichen)	Passord (minimum 12 tegn)
confirmPassword	Confirm password	Bekräfta lösenordet	Bekræft adgangskoden	Wachtwoord bevestigen	Vahvista salasana	Passwort bestätigen	Bekreft passordet
usernameToShort	Username or email is invalid, must contain at least three characters	Användarnamn eller e-postadress är ogiltig, måste innehålla minst tre tecken	Brugernavn eller e-mail er ugyldig, skal indeholde mindst tre tegn	Gebruikersnaam of e-mail is ongeldig, moet ten minste drie tekens bevatten	Käyttäjätunnus tai sähköpostiosoite on virheellinen, niissä on oltava vähintään kolme merkkiä	Benutzername oder E-Mail ungültig - Mindestlänge drei Zeichen	Brukernavn eller e-postadresse er ugyldig, må inneholde minst tre tegn
passwordToShort	The password must consist of at least 12 characters	Lösenordet måste bestå av minst 12 tecken	Adgangskoden skal bestå af mindst 12 tegn	Het wachtwoord moet ten minste 12 tekens bevatten	Salasanassa on oltava vähintään 12 merkkiä	Das Passwort muss mindestens 12 Zeichen lang sein	Passordet må bestå av minst 12 tegn
